customer_id,first_name,last_name,email,phone,city,state_province,country,zip_code,registration_date
103738,Bernardo,Lopes,bernardo.lopes@att.net,4377286256,Louisville,KY,United States,40293,2025-01-24
104244,Oswaldo,Viane,oswaldo.viane@att.net,,Roxboro,QC,Canada,H8Y 5Y2,2026-03-24
104334,safia,narciso,safia.narciso@gmail.com,,San Antonio,TX,us,78296,2024-03-15
104826,Joan,Ojeda,joan.ojeda@icloud.com,,Harrisburg,PA,united states,17110,2026-05-11
108841,Sunnvá,Boustany,sunnva.boustany@yahoo.com,8740829695,Stockton,CA,United States,95219,2024-02-17
111159,Siniša,Ojeda,sinisa.ojeda@live.com,5376717522,Manila,GR,Mexico,39250,2023-12-16
111456,Kalima,Prum,kalima.prum@gmail.com,7919418663,South Lake Tahoe,CA,United States,96154,2024-09-25
112010,nuha,muyongo,nuha.muyongo@gmail.com,,Trenton,NJ,USA,08603,2025-11-14
117743,Philippe,Gomis,philippe.gomis@att.net,9282316196,Ajax Southwest,ON,canada,L1S 9R8,2024-09-21
128406,Germaine,Krukauskas,germaine.krukauskas@icloud.com,9672369243,Washington,dc,United States,20409,2025-11-22
128500,Jamal,Wilson,jamal.wilson@live.com,7784144223,Sarasota,FL,united states,34276,2024-01-27
129305,Sory,Ochello,sory.ochello@amazon.com,8239921552,San Antonio,SL,México,78784,2026-01-09
133790,Aphrodite,Lopes,aphrodite.lopes@gmail.com,5302057934,Kalamazoo,MI,UNITED STATES,49048,2025-09-13
137129,Rayan,Konnaris,rayan.konnaris@icloud.com,4790230222,Atencahuites,GR,mexico,40370,2025-10-11
137770,Nejmeddine,Howard,nejmeddine.howard@gmail.com,,Charlotte,NC,United States,28230,2024-04-08
138304,Naresh,Randriantsiferana,naresh.randriantsiferana@gmail.com,6017938934,Erie,PA,United States,16510,2024-04-18
140833,Layla,Le Clercq,layla.leclercq@fastmail.com,4910206453,Charlotte,NC,United States,28225,2026-01-17
141338,Ishwar,Al Khanjar,ishwar.alkhanjar@gmail.com,9603775646,Clearwater,FL,United States,34615,2026-02-13
141407,Kira,Makotoko,kira.makotoko@gmail.com,4664843777,Surrey Northeast,bc,Canada,V4N 7V2,2025-09-24
145499,Nathalie,Hyppolite,nathalie.hyppolite@gmail.com,6655217777,Everett,WA,United States,98206,2026-02-09
147350,Andreas,Mendoza,andreas.mendoza@gmail.com,,La Joya,OA,MX,69006,2024-07-21
149192,Sophie,Đurišić,sophie.urisic@gmail.com,7391410633,Adalberto Tejeda,ve,MX,96938,2024-01-17
